work_key,title,author,publishers,first_sale_month,active_months,lifetime_net_sales,cum_1m_net_sales,observed_1m,cum_3m_net_sales,observed_3m,cum_6m_net_sales,observed_6m,cum_12m_net_sales,observed_12m,platform_count_12m,top_platform_share_12m
중원낭인|||서효원,중원낭인,서효원,프로무림,2021-02,58,809241,18557,Y,47857,Y,77057,Y,186722,Y,7,0.3358
중원대천사|||사마달,중원대천사,사마달,프로무림,2021-02,58,793425,26758,Y,68986,Y,153477,Y,244608,Y,9,0.2711
중원무도|||서효원,중원무도,서효원,프로무림,2021-02,58,841285,16895,Y,24095,Y,95495,Y,217161,Y,6,0.5445
중원무정|||서효원,중원무정,서효원,프로무림,2021-02,56,768628,12259,Y,19459,Y,21259,Y,173843,Y,6,0.7453
중원영웅사|||내가위,중원영웅사,내가위,프로무림,2021-02,52,141051,3058,Y,7806,Y,14825,Y,27417,Y,5,0.4743
중원정벌|||청산,중원정벌,청산,프로무림,2021-02,59,1356832,37467,Y,72217,Y,149582,Y,289622,Y,6,0.4568
지배의 법칙|||민서,지배의 법칙,민서,프로무림,2021-02,58,459946,14487,Y,36496,Y,91257,Y,158835,Y,8,0.7007
지옥도|||몽월,지옥도,몽월,프로무림,2021-02,41,175922,14400,Y,14400,Y,17100,Y,20700,Y,3,0.7391
지옥제일검|||서효원,지옥제일검,서효원,프로무림,2021-02,53,568487,4161,Y,10461,Y,10461,Y,96964,Y,6,0.5626
지옥천하|||홍파,지옥천하,홍파,프로무림,2021-02,52,168157,1849,Y,7609,Y,11785,Y,25334,Y,8,0.4241
지옥파천황|||청산,지옥파천황,청산,프로무림,2021-02,57,787492,29062,Y,65289,Y,113576,Y,205406,Y,5,0.5548
지존공식|||라이먼,지존공식,라이먼,프로무림,2021-02,37,136539,1521,Y,5411,Y,20824,Y,35522,Y,5,0.641
지존독보|||와룡강,지존독보,와룡강,프로무림,2021-02,60,11196174,145315,Y,440063,Y,1094673,Y,2644037,Y,10,0.2083
지존등극|||사마달,지존등극,사마달,프로무림,2021-02,60,1310143,24960,Y,71254,Y,153997,Y,351502,Y,9,0.2927
지존무쌍|||별도,지존무쌍,별도,프로무림,2021-02,49,1407489,22400,Y,56000,Y,159670,Y,208143,Y,7,0.6242
지존수 대 지존수3|||서효원,지존수 대 지존수3,서효원,프로무림,2021-02,44,106400,100,Y,2800,Y,8200,Y,14500,Y,2,0.9931
지크|||김하준,지크,김하준,프로무림,2021-02,59,3217637,74566,Y,161597,Y,381135,Y,877258,Y,10,0.4626
진조무쌍|||가람검,진조무쌍,가람검,프로무림,2021-02,59,1576820,5670,Y,30200,Y,77660,Y,215490,Y,5,0.3645
진짜 사나이|||조건상,진짜 사나이,조건상,프로무림,2021-02,59,4988770,37125,Y,74250,Y,114475,Y,195890,Y,2,0.9389
진천뇌협|||동윤,진천뇌협,동윤,프로무림,2021-02,57,1019341,10800,Y,27000,Y,84060,Y,193010,Y,7,0.272
질풍권|||별도,질풍권,별도,프로무림,2021-02,55,1106013,27045,Y,68415,Y,131436,Y,281166,Y,10,0.4332
질풍마검사|||인기영,질풍마검사,인기영,프로무림,2021-02,59,1563951,17150,Y,62230,Y,151140,Y,266120,Y,10,0.5321
질풍의 류|||현자림,질풍의 류,현자림,프로무림,2021-02,43,113307,7572,Y,14160,Y,33641,Y,53961,Y,3,0.4705
차원기업 고구려|||박시원,차원기업 고구려,박시원,포텐,2021-02,57,344904,6244,Y,43682,Y,69547,Y,108180,Y,13,0.2964
"창궁무영|||사마달, 여래향",창궁무영,"사마달, 여래향",프로무림,2021-02,59,1005051,17688,Y,65612,Y,183896,Y,333801,Y,10,0.3587
창궁무적검|||서효원,창궁무적검,서효원,프로무림,2021-02,59,3490084,58300,Y,85300,Y,111900,Y,575340,Y,13,0.2819
창궁비연|||서효원,창궁비연,서효원,프로무림,2021-02,56,494109,9063,Y,23463,Y,45363,Y,111909,Y,6,0.4927
창귀|||별도,창귀,별도,프로무림,2021-02,50,3056788,67391,Y,180259,Y,817578,Y,1000484,Y,8,0.4271
창업의 신|||정현우,창업의 신,정현우,프로무림,2021-02,57,653484,21430,Y,58930,Y,80490,Y,190560,Y,16,0.2332
창천신영|||사마달,창천신영,사마달,프로무림,2021-02,59,670516,8018,Y,37489,Y,84153,Y,157360,Y,9,0.2881
"천|||사마달, 일주향",천,"사마달, 일주향",프로무림,2021-02,60,1762681,31843,Y,109391,Y,199343,Y,396442,Y,9,0.4036
천강천하|||김하준,천강천하,김하준,프로무림,2021-02,48,140124,3969,Y,15682,Y,21874,Y,34408,Y,8,0.2813
천검|||박현수,천검,박현수,프로무림,2021-02,57,1452740,8480,Y,84071,Y,262011,Y,483356,Y,11,0.2546
