작품,작가,출판사,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,총합
대륙종사,고월,대명종,5400.0,2700.0,7089.0,3817.0,2700.0,8153.0,6567.0,1800.0,3930.0,991.0,7126.0,1610.0,180.0,7733.0,2700.0,7470.0,8165.0,5863.0,4328.0,9300.0,10116.0,432.0,12317.0,8461.0,1950.0,3078.0,2959.0,438.0,11127.0,3532.0,7430.0,2030.0,16174.0,16200.0,8132.0,7646.0,0.0,5757.0,0.0,7884.0,1636.0,5400.0,2866.0,17616.0,6273.0,6769.0,1242.0,2700.0,8100.0,3390.0,380.0,2700.0,0.0,4458.0,575.0,2261.0,3600.0,1966.0,0.0,7721.0,302938.0
나의 친애하는 후원자님,마뇽,러브홀릭,9800.0,16400.0,35500.0,24600.0,7100.0,17500.0,4300.0,10500.0,13600.0,9100.0,0.0,16800.0,8100.0,10000.0,8000.0,14000.0,7500.0,7450.0,6524.0,6396.0,55534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,864.0,2716.0,324.0,0.0,0.0,0.0,6510.0,0.0,0.0,0.0,3150.0,302448.0
말단 병사에서 군주까지,소울풍,JC미디어,0.0,287280.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302280.0
미라클 스티치,정연주,러브홀릭,-3300.0,9000.0,1100.0,9800.0,13340.0,6300.0,8200.0,-1468.0,21100.0,4800.0,1200.0,3800.0,9100.0,25500.0,3300.0,15400.0,4900.0,6966.0,8186.0,10646.0,6849.0,3884.0,10011.0,5724.0,1468.0,7740.0,9810.0,1862.0,3780.0,7747.0,5908.0,7928.0,2121.0,3290.0,4753.0,4500.0,3060.0,2055.0,3150.0,900.0,270.0,4320.0,3960.0,7653.0,-180.0,2610.0,5850.0,0.0,522.0,1953.0,3952.0,0.0,270.0,866.0,4462.0,6974.0,2250.0,1800.0,0.0,90.0,302032.0
태양의 제국,이서윤,러브홀릭,0.0,0.0,0.0,7000.0,0.0,0.0,12600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,0.0,176400.0,56700.0,6300.0,0.0,0.0,0.0,6300.0,0.0,0.0,0.0,6300.0,0.0,0.0,301000.0
제52장 의,와룡강,프로무림,6300.0,0.0,0.0,0.0,630.0,2400.0,0.0,0.0,6500.0,18000.0,4500.0,23100.0,20700.0,1800.0,9900.0,0.0,0.0,13800.0,29400.0,18300.0,3900.0,5400.0,900.0,20100.0,900.0,12000.0,1800.0,1800.0,3600.0,0.0,2700.0,5400.0,0.0,8100.0,2700.0,0.0,9900.0,18000.0,0.0,5700.0,0.0,900.0,3600.0,0.0,6300.0,2700.0,12000.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,900.0,2700.0,2700.0,6300.0,3600.0,300830.0
미래를 보는 투자자,박성호,EDMbooks,227200.0,22400.0,51200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300800.0
떨어지는 꽃잎 흩어지는 칼날,마승리,러브홀릭,22605.0,8690.0,240.0,16005.0,0.0,0.0,4070.0,605.0,0.0,4620.0,0.0,440.0,330.0,275.0,275.0,2750.0,10670.0,4854.0,0.0,8292.0,8586.0,756.0,5147.0,1188.0,972.0,540.0,108.0,4698.0,0.0,3110.0,6998.0,0.0,21225.0,0.0,9046.0,100.0,6619.0,0.0,8154.0,64.0,6598.0,1365.0,8677.0,27879.0,7819.0,7992.0,4039.0,0.0,0.0,3823.0,13975.0,4622.0,3517.0,4203.0,378.0,17420.0,1749.0,6804.0,10098.0,7611.0,300601.0
무림악동 이계 평정기,공간,환상미디어,6167.0,7800.0,5382.0,15609.0,17660.0,5293.0,5738.0,12497.0,2754.0,6759.0,5847.0,9489.0,6305.0,3264.0,3528.0,10653.0,5676.0,11491.0,20643.0,4019.0,6930.0,3294.0,5559.0,12066.0,1646.0,11852.0,363.0,2730.0,12732.0,627.0,5775.0,1058.0,1914.0,2168.0,3472.0,2085.0,961.0,7224.0,0.0,2562.0,593.0,3244.0,3778.0,1260.0,0.0,0.0,1360.0,1764.0,2268.0,2653.0,3402.0,4342.0,2060.0,3151.0,0.0,1350.0,163.0,5078.0,5016.0,7131.0,300205.0
레오니스제국의 기상,초몽,소드북,5010.0,4006.0,8927.0,9093.0,11349.0,15160.0,6130.0,6798.0,13541.0,5984.0,4570.0,2399.0,7020.0,12027.0,8972.0,5338.0,4594.0,1533.0,8181.0,4086.0,910.0,11615.0,630.0,3591.0,2999.0,4426.0,6124.0,1920.0,3546.0,15910.0,7152.0,11781.0,630.0,11525.0,1701.0,3843.0,4158.0,9602.0,3860.0,3950.0,2671.0,3999.0,0.0,0.0,10105.0,0.0,3443.0,0.0,567.0,2470.0,3326.0,0.0,0.0,0.0,470.0,1702.0,2835.0,1366.0,6917.0,5560.0,300022.0
