작품,작가,출판사,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,총합
언어의 주인이란,정보석,포텐,510752.0,516752.0,319946.0,103246.0,10120166.0,4195552.0,3825910.0,3341938.0,3941696.0,2507043.0,2296662.0,3188276.0,2631192.0,2323877.0,3824686.0,2766453.0,2503864.0,2761035.0,2675765.0,2563642.0,2724661.0,3149502.0,5107170.0,2144296.0,3412351.0,2360458.0,1740305.0,4980070.0,5400724.0,5725566.0,4681629.0,4239977.0,3631247.0,5774388.0,9507823.0,19330561.0,18279100.0,14238461.0,9574584.0,7987475.0,7542579.0,8898200.0,7787763.0,7788329.0,6554433.0,4804393.0,4555432.0,4751328.0,6366460.0,6091279.0,7470409.0,11759908.0,10089747.0,6387716.0,4521065.0,4308396.0,3367156.0,7227185.0,4555477.0,3601514.0,319337570.0
대망,강동호,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2901507.0,6186610.0,5066256.0,6566548.0,9459490.0,24610920.0,26413121.0,15482819.0,11531228.0,21960843.0,15424570.0,12192345.0,9165826.0,9271536.0,7216692.0,5526943.0,6588274.0,6297653.0,4577336.0,6315837.0,6665736.0,4763419.0,4483167.0,4448790.0,6155690.0,4050287.0,4996479.0,6422686.0,4434880.0,4400580.0,4637777.0,5869079.0,3505449.0,4169178.0,3064461.0,3807393.0,288631405.0
용권,송재일,포텐,2090130.0,2667686.0,3400987.0,20386143.0,27004953.0,9954220.0,11385867.0,13630905.0,9584645.0,8173761.0,10706988.0,8360978.0,6994361.0,4641297.0,3343354.0,2430003.0,2873003.0,2965510.0,2653932.0,5627793.0,3891909.0,2269304.0,2233040.0,4898644.0,4432146.0,3561125.0,2376212.0,2903234.0,2392638.0,2708736.0,3051811.0,2394347.0,2076781.0,2048336.0,1984997.0,2074672.0,2792037.0,2296098.0,1070468.0,1552880.0,1888606.0,1717491.0,2231193.0,1351355.0,1153171.0,722537.0,699166.0,758891.0,895341.0,1670061.0,2017597.0,1226589.0,1268759.0,1133442.0,1218539.0,1063505.0,1185375.0,1137293.0,1039312.0,827866.0,237092020.0
식사하고 가세요,인기영,포텐,3250614.0,5410080.0,3315646.0,14922768.0,16369833.0,9963301.0,13997440.0,5889804.0,7890563.0,4435798.0,7492763.0,7240826.0,3617532.0,4583425.0,10166456.0,9340763.0,10859848.0,5371890.0,4871348.0,7026041.0,3227065.0,4706089.0,3362211.0,2967133.0,2013631.0,1593737.0,2040865.0,3093400.0,1207189.0,1017365.0,2517454.0,1971609.0,1479561.0,1392550.0,971922.0,814906.0,625397.0,1817607.0,1778955.0,922961.0,675163.0,572431.0,999419.0,502108.0,729118.0,688680.0,736879.0,881855.0,434725.0,598301.0,863646.0,926931.0,744954.0,769369.0,672473.0,624766.0,478858.0,1620215.0,696119.0,657388.0,210411744.0
재벌가 장남은 가치를 본다,유재무,포텐,11359411.0,10822142.0,8662275.0,2902764.0,2577711.0,23950228.0,6862759.0,4585514.0,3185760.0,3178303.0,2704270.0,2180629.0,4335042.0,2668198.0,6146459.0,14036444.0,4018506.0,1955363.0,7627903.0,12533919.0,4548186.0,2268200.0,1506590.0,1540912.0,1516369.0,2157598.0,5555516.0,3664918.0,1794502.0,1543719.0,2898915.0,4708005.0,2015636.0,1217836.0,2396650.0,3801892.0,1774932.0,1783678.0,1579039.0,2630334.0,2356832.0,985662.0,1089437.0,2319581.0,1479419.0,984392.0,1390705.0,1124225.0,1469917.0,918810.0,1159925.0,569912.0,719750.0,354762.0,911672.0,666098.0,407218.0,963345.0,1758812.0,705416.0,209532917.0
성공시대,강동호,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2310007.0,2528973.0,7028544.0,8138663.0,4520038.0,13491915.0,13846277.0,21654129.0,10856635.0,15821168.0,8078283.0,8028936.0,4688655.0,5688091.0,3304913.0,3952429.0,5375859.0,4269178.0,3284676.0,2730751.0,3165025.0,3554555.0,3342598.0,3037510.0,3962082.0,2066414.0,2730044.0,4824354.0,3810529.0,3784461.0,2842045.0,3331977.0,2704103.0,2542086.0,1861528.0,3082206.0,200239637.0
재벌집 외동딸과 하룻밤을 보냈다,희나리T,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9261759.0,8770165.0,15064452.0,12175962.0,15935353.0,16806540.0,19315662.0,19617613.0,10931338.0,20945541.0,8992178.0,8239653.0,8885990.0,5217189.0,180159395.0
불행을 보는 재벌집 손자,유재무,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7376814.0,11681364.0,10708391.0,9731074.0,14571697.0,20406786.0,14925082.0,3834605.0,5080069.0,5713647.0,9613295.0,3755538.0,6223518.0,9707438.0,3054469.0,1735063.0,1685065.0,4331601.0,2954624.0,1388797.0,7223564.0,3595219.0,2701391.0,2186538.0,1677775.0,3491334.0,1575065.0,2223722.0,173153545.0
드레곤 레어에 조난당했다,이우찬,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6161958.0,5776521.0,18651435.0,19967031.0,18323221.0,23937857.0,26035653.0,12654342.0,9267648.0,7109582.0,8881914.0,5930110.0,8392665.0,171089937.0
금수저 투자백서,관측불가,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1168050.0,34162531.0,11592912.0,7510545.0,7817704.0,9980228.0,9742999.0,6646099.0,12435303.0,7911553.0,7032871.0,10398604.0,8795233.0,11229583.0,9003250.0,6424069.0,6939338.0,168790872.0
