timestamp,process,id,ws_mb,pm_mb,cpu_s
2026-03-14T19:01:22.1235171+09:00,cmd,5784,3.1,1.5,0
2026-03-14T19:01:22.1388444+09:00,codex,4492,82.1,51.4,207.9
2026-03-14T19:01:22.1400250+09:00,python,4936,57.1,44.5,1
2026-03-14T19:01:23.1585921+09:00,cmd,5784,5.2,2.9,0
2026-03-14T19:01:23.1585921+09:00,codex,4492,82.1,51.4,208.9
2026-03-14T19:01:23.1602120+09:00,python,4936,57.1,44.5,1
2026-03-14T19:01:23.1602120+09:00,python,7560,36.9,28.7,0.5
2026-03-14T19:01:24.1726164+09:00,cmd,5784,5.2,2.9,0
2026-03-14T19:01:24.1741868+09:00,codex,4492,82.4,51.6,209.9
2026-03-14T19:01:24.1747189+09:00,python,4936,57.1,44.5,1
2026-03-14T19:01:24.1747189+09:00,python,7560,70.3,55.3,1.2
2026-03-14T19:01:25.2030455+09:00,cmd,5784,5.2,2.9,0
2026-03-14T19:01:25.2030455+09:00,codex,4492,83.4,52.7,211
2026-03-14T19:01:25.2043184+09:00,python,4936,57.1,44.5,1
2026-03-14T19:01:25.2043184+09:00,python,7560,101.9,85.7,2
2026-03-14T19:01:26.2127064+09:00,cmd,5784,5.2,2.9,0
2026-03-14T19:01:26.2127064+09:00,codex,4492,83.4,52.7,211.9
2026-03-14T19:01:26.2127064+09:00,python,4936,57.1,44.5,1
2026-03-14T19:01:26.2127064+09:00,python,7560,132,337.9,2.9
2026-03-14T19:01:27.2290175+09:00,cmd,5784,5.2,2.9,0
2026-03-14T19:01:27.2305240+09:00,codex,4492,82.4,51.6,212.8
2026-03-14T19:01:27.2305240+09:00,python,4936,57.1,44.5,1
2026-03-14T19:01:27.2305240+09:00,python,7560,157.1,362.9,3.6
2026-03-14T19:01:28.2447101+09:00,cmd,5784,5.2,2.9,0
2026-03-14T19:01:28.2447101+09:00,codex,4492,82.4,51.6,213.1
2026-03-14T19:01:28.2447101+09:00,python,4936,57.1,44.5,1
2026-03-14T19:01:28.2447101+09:00,python,7560,175.1,380.7,4.3
2026-03-14T19:01:29.2622140+09:00,cmd,5784,5.2,2.9,0
2026-03-14T19:01:29.2622140+09:00,codex,4492,82.4,51.6,213.1
2026-03-14T19:01:29.2632443+09:00,python,4936,57.1,44.5,1
2026-03-14T19:01:29.2632443+09:00,python,7560,184.1,390.4,5.1
2026-03-14T19:01:30.2767274+09:00,cmd,5784,5.2,2.9,0
2026-03-14T19:01:30.2767274+09:00,codex,4492,82.4,51.6,213.1
2026-03-14T19:01:30.2851784+09:00,python,4936,57.1,44.5,1
2026-03-14T19:01:30.2851784+09:00,python,7560,185.2,392,5.8
2026-03-14T19:01:31.2933224+09:00,cmd,5784,5.2,2.9,0
2026-03-14T19:01:31.2953381+09:00,codex,4492,82.4,51.6,213.1
2026-03-14T19:01:31.2953381+09:00,python,4936,57.1,44.5,1
2026-03-14T19:01:31.2953381+09:00,python,7560,189,393.9,6.5
2026-03-14T19:01:32.3018598+09:00,cmd,5784,5.2,2.9,0
