=== Genre Library Builder 시작: 2026-02-04T17:15:49.807264 ===
작품 수: 10

[  941.9s] 복수재벌            | 추출중      |  31% |   1블록 | Block 2/38
[  943.7s] 악당 재벌           | 추출중      |  35% |   3블록 | Block 4/34
[  946.5s] 1980독식재         | 추출중      |  39% |   7블록 | Block 8/44
[  946.6s] 재벌 총수           | 추출중      |  37% |   8블록 | Block 9/64
[  957.6s] 재첫              | 추출중      |  30% |   1블록 | Block 2/72
[  957.7s] 불행재벌            | 추출중      |  32% |   3블록 | Block 4/63
[  978.4s] 마법배             | 추출중      |  32% |   4블록 | Block 5/91
[  983.0s] 회몰투             | 추출중      |  34% |   4블록 | Block 5/59
[  985.9s] 복수재벌            | 추출중      |  33% |   2블록 | Block 3/38
[  998.7s] 재벌 총수           | 추출중      |  38% |   9블록 | Block 10/64
[ 1002.6s] 악당 재벌           | 추출중      |  37% |   4블록 | Block 5/34
[ 1002.6s] 1980독식재         | 추출중      |  40% |   8블록 | Block 9/44
[ 1006.6s] 불행재벌            | 추출중      |  33% |   4블록 | Block 5/63
[ 1009.9s] 재첫              | 추출중      |  31% |   2블록 | Block 3/72
[ 1026.2s] 마법배             | 추출중      |  33% |   5블록 | Block 6/91
[ 1032.3s] 복수재벌            | 추출중      |  34% |   3블록 | Block 4/38
[ 1032.8s] 회몰투             | 추출중      |  35% |   5블록 | Block 6/59
[ 1044.4s] 재벌 총수           | 추출중      |  39% |  10블록 | Block 11/64
[ 1045.9s] 악당 재벌           | 추출중      |  38% |   5블록 | Block 6/34
[ 1054.7s] 1980독식재         | 추출중      |  42% |   9블록 | Block 10/44
[ 1056.8s] 재첫              | 추출중      |  32% |   3블록 | Block 4/72
[ 1060.1s] 불행재벌            | 추출중      |  34% |   5블록 | Block 6/63
[ 1071.7s] 마법배             | 추출중      |  33% |   6블록 | Block 7/91
[ 1076.6s] 회몰투             | 추출중      |  36% |   6블록 | Block 7/59
[ 1084.6s] 복수재벌            | 추출중      |  36% |   4블록 | Block 5/38
[ 1095.5s] 재벌 총수           | 추출중      |  40% |  11블록 | Block 12/64
[ 1101.4s] 재첫              | 추출중      |  33% |   4블록 | Block 5/72
[ 1102.6s] 1980독식재         | 추출중      |  43% |  10블록 | Block 11/44
[ 1108.3s] 악당 재벌           | 추출중      |  40% |   6블록 | Block 7/34
[ 1111.8s] 불행재벌            | 추출중      |  35% |   6블록 | Block 7/63
[ 1118.2s] 마법배             | 추출중      |  34% |   7블록 | Block 8/91
[ 1124.2s] 회몰투             | 추출중      |  37% |   7블록 | Block 8/59
[ 1144.5s] 재벌 총수           | 추출중      |  41% |  12블록 | Block 13/64
[ 1146.8s] 복수재벌            | 추출중      |  37% |   5블록 | Block 6/38
[ 1150.1s] 재첫              | 추출중      |  34% |   5블록 | Block 6/72
[ 1152.6s] 1980독식재         | 추출중      |  45% |  11블록 | Block 12/44
[ 1157.8s] 마법배             | 추출중      |  35% |   8블록 | Block 9/91
[ 1160.9s] 악당 재벌           | 추출중      |  42% |   7블록 | Block 8/34
[ 1167.7s] 회몰투             | 추출중      |  38% |   8블록 | Block 9/59
[ 1179.2s] 불행재벌            | 추출중      |  36% |   7블록 | Block 8/63
[ 1192.3s] 복수재벌            | 추출중      |  39% |   6블록 | Block 7/38
[ 1195.0s] 마법배             | 추출중      |  35% |   9블록 | Block 10/91
[ 1195.9s] 재첫              | 추출중      |  35% |   6블록 | Block 7/72
[ 1200.3s] 1980독식재         | 추출중      |  46% |  12블록 | Block 13/44
[ 1204.1s] 재벌 총수           | 추출중      |  42% |  13블록 | Block 14/64
[ 1218.5s] 회몰투             | 추출중      |  39% |   9블록 | Block 10/59
[ 1224.3s] 불행재벌            | 추출중      |  37% |   8블록 | Block 9/63
[ 1234.4s] 악당 재벌           | 추출중      |  44% |   8블록 | Block 9/34
[ 1236.5s] 마법배             | 추출중      |  36% |  10블록 | Block 11/91
[ 1237.7s] 복수재벌            | 추출중      |  41% |   7블록 | Block 8/38
[ 1250.4s] 1980독식재         | 추출중      |  47% |  13블록 | Block 14/44
[ 1250.7s] 재벌 총수           | 추출중      |  43% |  14블록 | Block 15/64
[ 1257.4s] 재첫              | 추출중      |  35% |   7블록 | Block 8/72
[ 1267.2s] 회몰투             | 추출중      |  40% |  10블록 | Block 11/59
[ 1271.7s] 불행재벌            | 추출중      |  38% |   9블록 | Block 10/63
[ 1275.4s] 악당 재벌           | 추출중      |  45% |   9블록 | Block 10/34
[ 1284.3s] 마법배             | 추출중      |  37% |  11블록 | Block 12/91
[ 1293.2s] 재첫              | 추출중      |  36% |   8블록 | Block 9/72
[ 1298.3s] 1980독식재         | 추출중      |  49% |  14블록 | Block 15/44
[ 1304.7s] 복수재벌            | 추출중      |  42% |   8블록 | Block 9/38
[ 1305.5s] 재벌 총수           | 추출중      |  44% |  15블록 | Block 16/64
[ 1321.1s] 투자백서            | 블록분할     |  25% |   0블록 | 62개 아크 → 블록 분할
[ 1327.1s] 불행재벌            | 추출중      |  39% |  10블록 | Block 11/63
[ 1332.1s] 마법배             | 추출중      |  37% |  12블록 | Block 13/91
[ 1338.1s] 회몰투             | 추출중      |  41% |  11블록 | Block 12/59
[ 1339.0s] 악당 재벌           | 추출중      |  47% |  10블록 | Block 11/34
[ 1344.5s] 1980독식재         | 추출중      |  50% |  15블록 | Block 16/44
[ 1344.8s] 재첫              | 추출중      |  37% |   9블록 | Block 10/72
[ 1356.6s] 복수재벌            | 추출중      |  44% |   9블록 | Block 10/38
[ 1358.0s] 재벌 총수           | 추출중      |  45% |  16블록 | Block 17/64
[ 1382.1s] 1980독식재         | 추출중      |  51% |  16블록 | Block 17/44
[ 1382.6s] 불행재벌            | 추출중      |  40% |  11블록 | Block 12/63
[ 1384.3s] 마법배             | 추출중      |  38% |  13블록 | Block 14/91
[ 1384.7s] 악당 재벌           | 추출중      |  49% |  11블록 | Block 12/34
[ 1386.7s] 재첫              | 추출중      |  38% |  10블록 | Block 11/72
[ 1388.5s] 회몰투             | 추출중      |  42% |  12블록 | Block 13/59
[ 1407.1s] 재벌 총수           | 추출중      |  45% |  17블록 | Block 18/64
[ 1417.5s] 복수재벌            | 추출중      |  45% |  10블록 | Block 11/38
[ 1429.0s] 악당 재벌           | 추출중      |  51% |  12블록 | Block 13/34
[ 1430.6s] 회몰투             | 추출중      |  43% |  13블록 | Block 14/59
