scenario,work_pool,portfolio_size,trials,p10_total_net_sales,p25_total_net_sales,p50_total_net_sales,p75_total_net_sales,pass_22m_rate,pass_29m_rate
all_12m,1699,18,20000,10662341,21960023,51781568,108949994,0.74945,0.67595
all_12m,1699,24,20000,19095455,36570013,77053170,156057490,0.8748,0.8121
all_12m,1699,27,20000,23980396,45330532,90324767,177657750,0.91355,0.8644
all_12m,1699,30,20000,28926971,53937716,103714610,199255992,0.9423,0.8992
